Name,Category,Address,Latitude,Longitude
Diani Beach,Beach,,-4.2797626,39.5946958
Diani Beach,Kenya,,-4.2890694,39.582837
Diani Reef Beach Resort & Spa,5-star hotel,,-4.2792229,39.5944083
Swahili Beach Resort,5-star hotel,,-4.292183,39.586675
The Maji Beach Boutique Hotel,5-star hotel,,-4.2762412,39.5940109
Nomad Beach Resort,5-star hotel,,-4.3279096,39.5716651
Diamonds Leisure Beach & Golf Resort,4-star hotel,,-4.281539,39.5924429
Baobab Beach Resort & Spa,4-star hotel,,-4.3366306,39.56805
Coral Beach Resort,Resort hotel,,-4.2891936,39.5897397
Southern Palms Beach Resort,4-star hotel,,-4.2682637,39.5970049
Leopard Beach Resort and Spa,Hotel,,-4.2841087,39.5892313
Waterlovers Beach Resort,4-star hotel,,-4.3080734,39.5806263
Bahari Dhow Beach Villas,3-star hotel,,-4.271643,39.5945764
Jacaranda Indian Ocean Beach Resort,4-star hotel,,-4.2617618,39.59544
Swahili Beach diani,Hotel,,-4.2921967,39.5864883
The Villa Luxury Suites Hotel,4-star hotel,,-4.2872271,39.5847249
Kaskazi Beach Resort,4-star hotel,,-4.2935937,39.5863427
Morning Star Diani Beach Resort,3-star hotel,,-4.2771883,39.5915103
Tombo House,Hotel,,-4.2755383,39.5889014
Coconut Beach Lodge,4-star hotel,,-4.2481045,39.6009515
Papillon Lagoon Reef,3-star hotel,,-4.3332646,39.5672755
Prideinn Express Diani,3-star hotel,,-4.2755123,39.5925342
Prideinn Express Diani,3-star hotel,,-4.2755123,39.5925342
Asha Boutique Hotel,Hotel,,-4.3084629,39.5804949
"Safari Beach Hotel, Diani",Hotel,,-4.3311551,39.5680296
Eleven Pearl Boutique Hotel & Spa,4-star hotel,,-4.3416889,39.5662658
Stilts Tree Houses,Hotel,,-4.3120961,39.5739288
Aqua Resort,Holiday apartment rental,,-4.272937,39.5936968
Villa Mandhari Diani Beach,Hotel,,-4.3263698,39.5621082
PrideInn Hotel Diani,Hotel,,-4.2879887,39.5812613
Galu Beach Retreat,3-star hotel,,-4.2991695,39.5814765
Diani Backpackers,2-star hotel,,-4.341119,39.560823
"The Safiya Hotel, Diani",Hotel,,-4.269502,39.594592
Elewana AfroChic Diani Beach,4-star hotel,,-4.271843,39.597075
"Doric Cottages Diani, Kenya",3-star hotel,,-4.297959,39.577697
Mzima Beach Diani,Hotel,,-4.3574818,39.5610443
African Dream Cottages - Diani Beach,Cottage,,-4.3109888,39.5730919
Seaclusion Diani,4-star hotel,,-4.310092,39.5749243
Oasis Diani Villas,5-star hotel,,-4.3199944,39.5690765
Boxo Diani,4-star hotel,,-4.363113,39.5579518
Diani Sea Lodge,4-star hotel,,-4.3180311,39.5753208
Flamboyant Diani,4-star hotel,,-4.3134098,39.5777863
KASKAZI BEACH HOTEL,Hotel,,-4.2851368,39.566338
Swahili House,4-star hotel,,-4.2380144,39.6028292
Mangro Hotel Diani,3-star hotel,,-4.2851172,39.5737439
Coco-De-Ville Kenya,3-star hotel,,-4.3077554,39.5771798
Diani Campsite & Cottages,Group accommodation,,-4.3035966,39.5809792
Casa Hera,Bed & breakfast,,-4.2731205,39.5895515
"Casa Di Mia Luxury Villa, Beach Road",Villa,,-4.2633251,39.5946011
Ocean Village Club,4-star hotel,,-4.3324398,39.569562
Diani Beach Villas Cottages,3-star hotel,,-4.3141165,39.5689152
Golden Duranta Villas,Villa,,-4.2940341,39.5773277
Lotfa Resort Diani,3-star hotel,,-4.3259762,39.5693391
HillPark Tiwi & Amare Resort,4-star hotel,,-4.224201,39.607094
Amkia Villas Diani,Hotel,,-4.3255995,39.563898
Pendo Villas Diani,2-star hotel,,-4.299223,39.57338
Sonnie Guest House,3-star hotel,,-4.3193697,39.5662117
Alfajiri Villas,Cottage,,-4.286725,39.5895927
Diani Sea Resort,Hotel,,-4.3068277,39.5797706
Diani Beach,Group accommodation,,-4.2797626,39.5946957
Diani Apartments,Hotel,,-4.3004754,39.5780446
Raquel's Bliss Diani,Hotel,,-4.3260119,39.5634811
glory oceanvillas diani,Villa,,-4.3031269,39.5772573
Kijani Cottages,Lodge,,-4.3392761,39.5598505
Savita House Diani,Guest house,,-4.298843,39.5778385
Tradewinds Lodge,3-star hotel,,-4.305683,39.5801779
Malaika Gardens hotel $ conference centre,Hotel,,-4.3008541,39.577525
Diani - Banda Guest House,2-star hotel,,-4.3036522,39.579914
Cycad Palm Diani,Hotel,,-4.3276645,39.5592411
milamax beach villa,Cottage rental,,-4.2719261,39.5967125
Diani Classic Guest House Limited,Hotel,,-4.2825767,39.5693179
Diani Travelers Guest House,3-star hotel,,-4.2814111,39.5670485
DARAD DIANI HOTEL,Hotel,,-4.2865082,39.5767382
Fred Hunter Villa,Cottage rental,,-4.2327197,39.5966194
Qua Bruce Villas,3-star hotel,,-4.3080718,39.5776636
Lovely 5-bed Room House With a Swimming Pool,Extended stay hotel,,-4.3294,39.56574
Noura suites Diani,Restaurant,,-4.2852739,39.5750866
Manyatta Resort & Apartments,Resort hotel,,-4.3279487,39.5715614
Diani Hostel,1-star hotel,,-4.3371025,39.5542596
Gold Sand International Hotel,Hotel,,-4.2702648,39.5954466
Leopard Beach Resort,,,-4.281539,39.5924429
Diani Marine Divers Village,4-star hotel,,-4.3122353,39.5773735
Shikamoo Cottage Diani Beach,Serviced accommodation,,-4.2714694,39.5931363
DianiKwetu Resort,Resort hotel,,-4.2697549,39.5921969
Searenity Beach Villa,Villa,,-4.3025647,39.5829882
Kole Kole Hotel,4-star hotel,,-4.3377807,39.5674163
Golden Sun Resort (Fisherhut Restaurant),Hotel,,-4.2700662,39.595375
Armaan Shopping Complex,Guest house,,-4.316064,39.5733988
Waridi Diani,Hotel,,-4.2707662,39.595514
Watano beach house,Hotel,,-4.2994413,39.5843719
Southern Cottages resort Diani,3-star hotel,,-4.2667829,39.5919353
Hotel - Asins,3-star hotel,,-4.2725824,39.5938256
DIANI BAY RESORT,3-star hotel,,-4.2617194,39.5915836
Amani Tiwi Beach Resort,4-star hotel,,-4.2520029,39.5994529
Palm Escape Diani Beach,Guest house,,-4.2702345,39.5929118
Fair Haven Resort Diani,Resort hotel,,-4.2706657,39.5903935
Zarafa House,Bed & breakfast,,-4.2687541,39.5928066
Africa Pearl spa,Hotel,,-4.2776624,39.5907709
Kenda Villas,3-star hotel,,-4.2829404,39.5902516
Retro Boutique Hotel,3-star hotel,,-4.2871218,39.5838349
Kongo river (shambani) bungalows,Cottage,,-4.259795,39.5947
Sand Island Beach Cottage,Hotel,,-4.2224133,39.608714
Golf and Living,Resort hotel,,-4.2854215,39.5863669
Kenya Charming Villas,Villa,,-4.2629574,39.5953307
Warandale Cottages,Cottage,,-4.2855467,39.5885696
