Name,Category,Address,Latitude,Longitude
Manyatta Resort & Disco Lounge,Disco club,,-4.3211133,39.5724927
Shakatak Disco,Disco club,"you r, Near The Diana Sea Lodge, Diana, Diani Beach Road",-4.3180805,39.5734587
Tandoori Baharini lounge,Bar,"Beach Road, Opposite Diana Sea Lodge, Diana",-4.3163252,39.5733401
Coco Bongo Diani,Sports bar,"PHFR+JR4, Ukunda, Diani Beach Road",-4.2759375,39.5920625
The Club Diani,Bar,PHFR+JR4 diani beach,-4.2759897,39.5920747
JohRay'z discotheque and restaurant,Night club,"PG7Q+97M, Diani",-4.2865416,39.5381684
Spice Lounge,Bar,"PHGV+X35, Diani Beach Hospital Rd",-4.2736343,39.5935395
Club Mandingo,Bar,"PH37+V8P, Ukunda-Ramisi Rd",-4.2952996,39.5633383
Full Moon Night Club,Night club,"PH3J+FX Diani Beach, Diani Beach Road",-4.2959594,39.5819899
Terminal 2 Cocktail Bar - Diani Beach,Cocktail bar,Diani Beach Road,-4.2708645,39.594914
Diani Reef Beach Resort & Spa,5-star hotel,,-4.2792229,39.5944083
Club Liquid Diani,Disco club,"PH78+F75, Ukunda-Ramisi Rd",-4.2863601,39.5657398
Blitz Sports Bar & Grill,Night club,Diani Beach Road,-4.3159713,39.5734643
Nomad Beach Bar & Restaurant,Bar,Diani Beach Road,-4.3270404,39.5727094
Casa Buenos Lounge,Night club,White House,-4.2737238,39.593609
DIANI Bazaar,Shopping mall,Diani Beach Road,-4.2967277,39.5823332
The Octave Bar,Grill,Diani,-4.2968111,39.5823204
Palmer Lounge & Restaurant,Bar,Diani Beach PH7H+2W Diani Beach,-4.2874375,39.5798125
Diani Place Fully Furnished Apartments,Apartment building,33 Diani Beach Road,-4.310713,39.5753005
Diani Pearl Luxury Apartments,Holiday apartment rental,"Diani Pearl Diani Beach Road, Behind Baharini Plaza Diani Beach, Kwale County KE",-4.3061181,39.57654
Amani Luxury Apartments,4-star hotel,,-4.3409079,39.5599643
"Bella Seaview, 4x serviced apartments on Diani Beach, Kenya",Serviced accommodation,Diani Beach Road,-4.2971361,39.5824229
Airbnb diani studio apartment,Bed & breakfast,,-4.2843628,39.5750995
Cave Diani Holiday Apartments,Villa,,-4.3033481,39.5707704
BAALI DIANI APARTMENTS,Holiday apartment rental,"PH7H+QPM, Diani Beach",-4.2852028,39.5794518
Rosa Mystica Aparments Diani beach,Holiday apartment rental,Diani beach,-4.3070607,39.5755112
"Diani Wonder Apartments (5,000/=)",Hotel,,-4.287317,39.5829922
Diani Springs Apartments,Apartment complex,"Diani Rd, Off Ole Odume Road",-1.2949773,36.7732699
Galu Gardens Apartments,Holiday apartment rental,,-4.3661441,39.554943
Wayside Beach Apartments,Holiday apartment,Diani Beach Road,-4.304195,39.5802339
Apple Mango Apartments,3-star hotel,,-4.3077555,39.5771937
Diani Beach Gold Apartments,Holiday apartment rental,Diani airstrip road,-4.3001407,39.572883
Baharini Holiday Apartments,Holiday apartment,"MHVG+9G4, Off Diani Beach Road",-4.3066244,39.5763359
Chrystal Baharini Beachfront Studio Suites at Golden Sun Resort,Furnished apartment building,Diani Beach Road,-4.2695666,39.5978437
CORAL BEACH COTTAGES & APARTMENTS,Conference center,Diani Beach Road,-4.2888423,39.5877543
Akiki Apartments & Villa,Holiday apartment,Diani Beach Road,-4.3104601,39.5752824
Ammarville Luxury Villa & Apartments,Bed & breakfast,Diani Beach Road,-4.2632657,39.5931432
leomilo holidays diani,Holiday apartment rental,Beach road,-4.3069823,39.5754986
leomilo holidays diani,Holiday apartment rental,Beach road,-4.3069823,39.5754986
Hibiscus Diani | Self Catering House & Apartments Kenya,3-star hotel,,-4.3496359,39.5586109
DIANI AIRPORT VIEW APARTMENTS,Apartment building,MHXF+W57,-4.3002006,39.5729339
DALLAS APARTMENTS,Apartment building,PH7J+9HV,-4.2865092,39.5814206
Simba Village Apartments,Apartment building,"Ukunda, Diani Beach Road",-4.3044791,39.5789711
Leshan Luxury Villas Diani,Holiday apartment rental,PH4G+V3,-4.2929911,39.5749989
Tandoori Villas And Apartments,Apartment building,"MHMC+HX5, Diani Beach Road",-4.316112,39.5724957
Diani Swed Breeze Apartments,1-star hotel,,-4.2714557,39.5898062
Stockholm apartments Diani,Apartment building,PH7H+QPM,-4.2855492,39.5793041
Diani Paradise Villas,Apartment building,,-4.2946059,39.579947
Frangipani Cottages,4-star hotel,,-4.3031267,39.5777195
Agape Apartments diani,Apartment building,airport street,-4.3019197,39.5657654
Roset Apartments,Apartment building,,-4.3275061,39.5622639
The Nest Apartments,Apartment building,"PH8H+GGV, Unnamed Road",-4.2836309,39.5787872
Coco's Paradise Cottages & Apartments,Apartment building,"Zara house, Diani, Diani Beach Road Kwitu Cottage Road, near",-4.2668652,39.5936758
House,Holiday apartment rental,"Behind Kenya Posta Diani, Diani Beach Road",-4.3015261,39.5750916
Diani Beach South Retreat,Short term apartment rental agency,PH8H+VPC,-4.2828125,39.5793125
Fiorella Beach House,Holiday apartment rental,,-4.2965385,39.5833337
Apartments,Furnished apartment building,Diani Beach Road,-4.3087951,39.5770856
Halisi Villa - Diani Accommodation,Short term apartment rental agency,,-4.3263672,39.5644953
Twiga Apartments,Holiday apartment rental,"MHWH+CPH, Baharini Plaza Tourist Centre Matatu Stop, Ukunda, Diani Beach Road",-4.3039423,39.5793584
V-Szameitat Homes (Diani South Coast-Kenya),Villa,,-4.3087014,39.5792684
Boho Comfort Homes,Short term apartment rental agency,Diani Beach Road,-4.3185329,39.5699245
Jo's Baobab Luxury Apartments,Furnished apartment building,Near Diani Beach Road Google Plus Code: MH44+QWJ Diani Beach,-4.3430625,39.5573125
The Beka Luxury Apartment,Holiday apartment rental,Diani Beach Road,-4.3081283,39.5697381
Fairview apartments,Apartment building,"MHV2+XC7, Unnamed Road",-4.3050877,39.5510599
Tranquil Terrace Cottages Diani,Furnished apartment building,PH6G+84,-4.2891101,39.5753426
Flametree Beach Homes,3-star hotel,,-4.2977695,39.5786766
Enzi furnished apartment diani,Holiday apartment rental,"PHCQ+WWX, Diani Beach Road",-4.2775446,39.5893243
Aqua Resort,Holiday apartment rental,,-4.272937,39.5936968
Nieyela luxury apartments,Apartment building,PH8F+HMQ,-4.2829211,39.5736799
Diani East Apartments,Hotel,,-4.2828218,39.5792666
Morning Star Diani Beach Resort,3-star hotel,,-4.2771883,39.5915103
Oceans Whisper Holiday Apartment in Diani,Holiday apartment rental,Kwitu Cottages Rd,-4.2674114,39.5916283
Mbili Kuwili Studio Apartments - Diani,Diani Beach Road,,-4.3044801,39.5789716
Ndoto Apartment Diani,Apartment building,PH7F+XWX,-4.2850062,39.5748489
Diani Airbnb Tribe,Travel agency,,-4.3007539,39.5761107
"Kimemu Willows Apartments, Diani",Holiday apartment,"PH8G+C9W, Diani Beach Road",-4.2838987,39.5759686
Beach Valley Apartment Diani,Apartment building,"PH3G+G89, Diani Link Rd",-4.2962078,39.5758749
Kizuri Home,Furnished apartment building,"PHGV+878, Diani Beach Hospital Rd",-4.2742045,39.593195
Ali's Plaza,Apartment complex,Diani Beach Road,-4.2776568,39.5912048
Monkey Suites,Villa,,-4.3172033,39.5753582
Darad studio apartment,Serviced accommodation,Rockstarz village,-4.2829569,39.5788741
Little star apartment,Apartment building,PH9G+P56,-4.2810445,39.5755688
Executive studios diani,Apartment building,PHFM+WJW,-4.275145,39.5840698
Diani Prestige Apartments,Apartment building,,-4.2841844,39.5709878
RoseVille,Villa,,-4.2968185,39.5780982
"Jamii Villas, Diani Kenya",Holiday apartment rental,PHFR+V6,-4.2752672,39.5906059
Diani Sea Lodge,4-star hotel,,-4.3180311,39.5753208
Green Village Apartment Diani,Holiday apartment rental,Ukunda Diani,-4.2761993,39.5642433
Bora Apartment,Apartment building,PH8H+MGX,-4.2832643,39.578874
FRESH VIEW DIANI LIVING.,Holiday apartment rental,PH7H+QPM,-4.2848406,39.5801555
Diani Backpackers,2-star hotel,,-4.341119,39.560823
Costa Sur Complex,Apartment complex,"MHVH+78M, Diani Beach Road",-4.3067857,39.5783046
Diani budget homes,Apartment building,,-4.2879617,39.5652842
Lotfa Resort Diani,3-star hotel,,-4.3259762,39.5693391
Bush Telegraph Real Estate,Real estate agency,"Diani Beach Road, Ocean springs",-4.3044818,39.5794025
Real Diani,Real estate rental agency,,-4.4065322,39.4919388
Ronn Apartment,Apartment building,MGVX+V8F,-4.3053018,39.5482958
DIDIZ CONFERENCE APARTMENT UTEO CATERING SERVICES DIANI,Holiday apartment rental,PH99+CPQ,-4.2815537,39.5693364
HAVEN HOMES DIANI,Apartment complex,80401 Diani Beach Road,-4.3087951,39.5770856
Imani Appartments,Apartment building,MHVG+R63,-4.3054926,39.5755456
Tropical breeze apartments,Apartment building,"PH5J+CFC, Unnamed Road",-4.2914283,39.5811311
Diani Apartments,Hotel,,-4.3004754,39.5780446
Leshons Apartments,Apartment building,"PG7Q+97M, Diani",-4.2865416,39.5381684
Eden Place,Apartment rental agency,"PH6J+J9W, Diani, Diani Beach Road",-4.2883841,39.5809423
Diani Luxury Apartments,Apartment building,Diani Luxury behind Selby Resort Juakali Center,0.5987189,35.146795
Rindig Apartment,Apartment building,"PH2F+G3P, Near Ukunda Airstrip, Diani Airstrip Road, Ukunda",-4.2986616,39.5727059
The Sandcastle,Apartment building,Diani Beach Road,-4.2974157,39.5823984
Roisam Diani Retreat,Holiday apartment rental,PH5F+43,-4.2921924,39.5726581
"Doric Cottages Diani, Kenya",3-star hotel,,-4.297959,39.577697
El Mufasa - Luxury Holiday Accommodation,Holiday apartment rental,Diani Beach Road,-4.3042651,39.5790849
Pine Grove Apartments,Apartment complex,MHX2+2QQ,-4.302412,39.5519974
Villa Musa diani beach,Bed & breakfast,108 sea view diani beach,-4.2975557,39.5831337
HOME DIANI,Apartment building,MG6W+WX,-4.3376329,39.5473848
Diani Homes Ltd,Apartment building,Majengo Diani Beach Rd Bazaar Shopping Centre Mvita,-4.2965906,39.5824782
Mawimbi Apartments,Holiday apartment rental,Baharini,-4.307943,39.579375
Seline Apartments LTD,Apartment building,"PHHV+QPW, Diani Beach Road",-4.2706178,39.5934832
Amani Joy Apartment,Apartment building,PH6G+946,-4.2890785,39.5752428
WABO Paradise - Diani,Apartment building,PH8F+WG6,-4.2827001,39.5737717
Villa Ilona,Apartment building,Diani Reef Rd. 177,-4.3217763,39.5616374
Diani Ukunda Holiday Homes,3-star hotel,Ukunda-Ramisi Rd,-4.3137614,39.5530727
