Name,Category,Address,Latitude,Longitude
Diani Reef Beach Resort & Spa,5-star hotel,,-4.279223,39.594408
Jacaranda Indian Ocean Beach Resort,4-star hotel,,-4.261762,39.59544
Amani Tiwi Beach Resort,4-star hotel,,-4.2520029,39.5994529
HillPark Tiwi & Amare Resort,4-star hotel,,-4.224201,39.607094
Hillpark Hotel Tiwi Beach,Hotel,,-4.2224698,39.6016809
Diamonds Leisure Beach & Golf Resort,4-star hotel,,-4.281539,39.592443
Jacaranda Indian Ocean Beach Resort,4-star hotel,,-4.261762,39.59544
Sawa Sawa Beach House,4-star hotel,,-4.4764258,39.4873034
YU Resort,4-star hotel,,-4.4770925,39.4850871
Chale Island Resort,4-star hotel,,-4.4428343,39.5362363
Swahili Beach Resort,5-star hotel,,-4.292183,39.586675
Nomad Beach Resort,5-star hotel,,-4.3279096,39.5716651
Baobab Beach Resort & Spa,4-star hotel,,-4.3366306,39.56805
The Maji Beach Boutique Hotel,5-star hotel,,-4.2762412,39.5940109
Asha Boutique Hotel,Hotel,,-4.3084629,39.5804949
Mbuyu Beach Bungalows,Resort hotel,,-4.4742106,39.4891839
Neptune Village Beach Resort & Spa,4-star hotel,,-4.3625013,39.5604142
Galu Ecolodge - Diani Beach Kenya,Hotel,,-4.3696712,39.5560424
Msambweni Beach House and Private Villas,Hotel,,-4.5079856,39.4693597
Tulia Eco Garden,Hotel,,-4.3124264,39.5178807
Lala Galu,Hotel,,-4.3636385,39.5589771
"Lantana Galu - Hotel in Diani, South Coast Kenya",4-star hotel,,-4.3640977,39.5577424
Villa Mandhari Diani Beach,Hotel,,-4.3263698,39.5621082
"Safari Beach Hotel, Diani",Hotel,,-4.3311551,39.5680296
Eleven Pearl Boutique Hotel & Spa,4-star hotel,,-4.3416889,39.5662658
Stilts Tree Houses,Hotel,,-4.3120961,39.5739288
Sonnie Guest House,3-star hotel,,-4.3193697,39.5662117
Mwazaro Beach Lodge,3-star hotel,,-4.5973719,39.3928249
Villa Mandhari Diani Beach,Hotel,,-4.3263698,39.5621082
Neptune Paradise Beach Resort & Spa,4-star hotel,,-4.361214,39.5606776
SUNSET VILLA,3-star hotel,,-4.3639092,39.5528144
Amkia Villas Diani,Hotel,,-4.3255995,39.563898
Oasis Diani Villas,5-star hotel,,-4.3199944,39.5690765
Lotfa Resort Diani,3-star hotel,,-4.3259762,39.5693391
PrideInn Hotel Diani,Hotel,,-4.2879887,39.5812613
Blue Water Villas,Homestay,,-4.3657436,39.5525123
African Dream Cottages - Diani Beach,Cottage,,-4.3109888,39.5730919
